[07/Oct/2014 10:01:28 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.tour.js HTTP/1.1"
[07/Oct/2014 10:01:28 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/plugins/jquery.cookie.js HTTP/1.1"
[07/Oct/2014 10:01:28 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/plugins/jquery.dataTables.1.8.2.min.js HTTP/1.1"
[07/Oct/2014 10:01:28 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/plugins/jquery.placeholder.min.js HTTP/1.1"
[07/Oct/2014 10:01:28 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/jquery/plugins/jquery.total-storage.min.js HTTP/1.1"
[07/Oct/2014 10:01:28 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/bootstrap.min.js HTTP/1.1"
[07/Oct/2014 10:01:28 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/jquery.datatables.sorting.js HTTP/1.1"
[07/Oct/2014 10:01:28 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/fileuploader.js HTTP/1.1"
[07/Oct/2014 10:01:28 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/popover-extra-placements.js HTTP/1.1"
[07/Oct/2014 10:01:29 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/knockout-min.js HTTP/1.1"
[07/Oct/2014 10:01:29 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/datatables-paging-0.1.js HTTP/1.1"
[07/Oct/2014 10:01:29 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/knockout.mapping-2.3.2.js HTTP/1.1"
[07/Oct/2014 10:01:29 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/ext/js/routie-0.3.0.min.js HTTP/1.1"
[07/Oct/2014 10:01:29 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/art/home.png HTTP/1.1"
[07/Oct/2014 10:01:29 -0700] DEBUG    127.0.0.1 bigdata - "GET /static/js/home.vm.js HTTP/1.1"
[07/Oct/2014 10:01:29 -0700] DEBUG    127.0.0.1 bigdata - "GET /oozie/static/art/icon_oozie_24.png HTTP/1.1"
[07/Oct/2014 10:01:29 -0700] DEBUG    127.0.0.1 bigdata - "GET /oozie/static/art/icon_oozie_workflow_24.png HTTP/1.1"
[07/Oct/2014 10:01:29 -0700] DEBUG    127.0.0.1 bigdata - "GET /oozie/static/art/icon_oozie_coordinator_24.png HTTP/1.1"
[07/Oct/2014 10:01:29 -0700] DEBUG    127.0.0.1 bigdata - "GET /oozie/static/art/icon_oozie_bundle_24.png HTTP/1.1"
[07/Oct/2014 10:01:29 -0700] INFO     127.0.0.1 bigdata - "GET /desktop/api/users/autocomplete HTTP/1.1"
[07/Oct/2014 10:01:29 -0700] INFO     127.0.0.1 bigdata - "GET /jobbrowser/ HTTP/1.1"
